Date	Device	Signal
Wed Jul  1 11:29:55 2015	GX15	-82
Wed Jul  1 11:29:55 2015	GX15	-85
Wed Jul  1 11:32:22 2015	S5610	-88
Wed Jul  1 11:32:43 2015	S5610	-86
Wed Jul  1 11:32:43 2015	S5610	-87
Wed Jul  1 11:33:39 2015	S5610	-85
Wed Jul  1 11:33:39 2015	S5610	-89
Wed Jul  1 11:33:39 2015	S5610	-88
Wed Jul  1 11:33:39 2015	-90
Wed Jul  1 11:33:39 2015	S5610	-83
Wed Jul  1 11:33:49 2015	S5610	-89
Wed Jul  1 11:33:49 2015	SEC02GJ54SDV7M	-90
Wed Jul  1 11:33:49 2015	S5610	-82
Wed Jul  1 11:34:10 2015	S5610	-89
Wed Jul  1 11:34:10 2015	S5610	-84
Wed Jul  1 11:34:21 2015	S5610	-90
Wed Jul  1 11:34:31 2015	S5610	-96
Wed Jul  1 11:34:42 2015	S5610	-90
Wed Jul  1 11:34:42 2015	SEC02GJ54SDV7M	-90
Wed Jul  1 11:34:42 2015	SEC02GJ54SDV7M	-89
Wed Jul  1 11:34:52 2015	S5610	-90
Wed Jul  1 11:34:52 2015	S5610	-85
Wed Jul  1 11:35:03 2015	S5610	-84
Wed Jul  1 11:35:24 2015	edc	-91
Wed Jul  1 11:35:24 2015	edc	-94
Wed Jul  1 11:35:34 2015	S5610	-82
Wed Jul  1 11:35:55 2015	SEC02GJ54SDV7M	-87
Wed Jul  1 11:38:54 2015	SEC02GJ54SDV7M	-89
Wed Jul  1 11:39:05 2015	Feild?s MacBook Pro	-90
Wed Jul  1 11:40:29 2015	SEC02GJ54SDV7M	-91
Wed Jul  1 11:40:39 2015	SEC02GJ54SDV7M	-81
Wed Jul  1 11:40:39 2015	edc	-92
Wed Jul  1 11:41:00 2015	GX15	-88
Wed Jul  1 11:42:24 2015	GX15	-92
Wed Jul  1 11:42:45 2015	SEC02GJ54SDV7M	-90
Wed Jul  1 11:46:15 2015	SEC02GJ54SDV7M	-86
Wed Jul  1 11:46:26 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 11:47:08 2015	GX15	-87
Wed Jul  1 11:47:18 2015	GX15	-91
Wed Jul  1 11:49:24 2015	Martina?s MacBook Pro	-91
Wed Jul  1 11:51:00 2015	Nokia108	-85
Wed Jul  1 11:51:00 2015	Nokia108	-86
Wed Jul  1 11:51:00 2015	Nokia108	-85
Wed Jul  1 11:51:00 2015	-90
Wed Jul  1 11:51:21 2015	Martina?s MacBook Pro	-92
Wed Jul  1 11:51:31 2015	Martina?s MacBook Pro	-96
Wed Jul  1 11:51:52 2015	SEC02GJ54SDV7M	-89
Wed Jul  1 11:52:13 2015	Martina?s MacBook Pro	-85
Wed Jul  1 11:53:06 2015	Martina?s MacBook Pro	-87
Wed Jul  1 11:53:06 2015	S5610	-88
Wed Jul  1 11:53:06 2015	S5610	-89
Wed Jul  1 11:53:16 2015	S5610	-86
Wed Jul  1 11:54:51 2015	edc	-90
Wed Jul  1 11:56:15 2015	Nokia108	-87
Wed Jul  1 11:56:15 2015	Nokia108	-91
Wed Jul  1 11:56:15 2015	Nokia108	-79
Wed Jul  1 11:56:15 2015	Nokia108	-87
Wed Jul  1 11:56:15 2015	Martina?s MacBook Pro	-89
Wed Jul  1 11:56:15 2015	Nokia108	-85
Wed Jul  1 11:56:15 2015	Nokia108	-94
Wed Jul  1 11:56:36 2015	Nokia108	-86
Wed Jul  1 11:56:36 2015	Nokia108	-76
Wed Jul  1 11:56:36 2015	Nokia108	-82
Wed Jul  1 11:56:46 2015	Nokia108	-87
Wed Jul  1 11:56:46 2015	Martina?s MacBook Pro	-89
Wed Jul  1 11:56:46 2015	Nokia108	-79
Wed Jul  1 11:56:46 2015	Martina?s MacBook Pro	-87
Wed Jul  1 11:56:46 2015	Nokia108	-76
Wed Jul  1 11:57:07 2015	GX15	-87
Wed Jul  1 11:57:18 2015	Nokia108	-81
Wed Jul  1 11:57:28 2015	Nokia108	-75
Wed Jul  1 11:57:28 2015	Nokia108	-85
Wed Jul  1 11:57:39 2015	Nokia108	-74
Wed Jul  1 11:57:39 2015	Nokia108	-68
Wed Jul  1 11:57:39 2015	Nokia108	-66
Wed Jul  1 11:57:39 2015	Nokia108	-69
Wed Jul  1 11:57:39 2015	S5610	-85
Wed Jul  1 11:57:39 2015	Martina?s MacBook Pro	-90
Wed Jul  1 11:57:39 2015	Nokia108	-70
Wed Jul  1 11:57:39 2015	Nokia108	-82
Wed Jul  1 11:57:39 2015	Nokia108	-75
Wed Jul  1 11:57:39 2015	Nokia108	-79
Wed Jul  1 11:57:39 2015	Nokia108	-70
Wed Jul  1 11:57:49 2015	GX15	-85
Wed Jul  1 11:58:00 2015	Nokia108	-85
Wed Jul  1 11:58:00 2015	GX15	-91
Wed Jul  1 11:58:00 2015	Nokia108	-77
Wed Jul  1 11:58:00 2015	Nokia108	-85
Wed Jul  1 11:58:00 2015	Nokia108	-73
Wed Jul  1 11:58:00 2015	Nokia108	-82
Wed Jul  1 11:58:10 2015	Nokia108	-90
Wed Jul  1 11:59:03 2015	GX15	-86
Wed Jul  1 11:59:03 2015	S5610	-84
Wed Jul  1 11:59:03 2015	GX15	-85
Wed Jul  1 11:59:03 2015	Martina?s MacBook Pro	-89
Wed Jul  1 11:59:03 2015	GX15	-84
Wed Jul  1 11:59:24 2015	GX15	-86
Wed Jul  1 11:59:24 2015	GX15	-89
Wed Jul  1 11:59:45 2015	GX15	-86
Wed Jul  1 11:59:45 2015	GX15	-85
Wed Jul  1 11:59:45 2015	S5610	-88
Wed Jul  1 11:59:56 2015	S5610	-84
Wed Jul  1 11:59:56 2015	S5610	-81
Wed Jul  1 11:59:56 2015	S5610	-83
Wed Jul  1 11:59:56 2015	S5610	-81
Wed Jul  1 11:59:56 2015	GX15	-86
Wed Jul  1 11:59:56 2015	GX15	-90
Wed Jul  1 12:00:38 2015	GX15	-89
Wed Jul  1 12:00:59 2015	SEC02GJ54SDV7M	-90
Wed Jul  1 12:01:09 2015	GX15	-82
Wed Jul  1 12:01:41 2015	GX15	-92
Wed Jul  1 12:01:51 2015	GX15	-86
Wed Jul  1 12:01:51 2015	GX15	-87
Wed Jul  1 12:02:33 2015	GX15	-86
Wed Jul  1 12:02:55 2015	Martina?s MacBook Pro	-89
Wed Jul  1 12:02:55 2015	S5610	-88
Wed Jul  1 12:03:05 2015	GX15	-86
Wed Jul  1 12:03:05 2015	GX15	-88
Wed Jul  1 12:03:16 2015	GX15	-82
Wed Jul  1 12:03:26 2015	S5610	-93
Wed Jul  1 12:03:26 2015	S5610	-90
Wed Jul  1 12:03:26 2015	S5610	-87
Wed Jul  1 12:03:37 2015	GX15	-89
Wed Jul  1 12:03:37 2015	GX15	-83
Wed Jul  1 12:03:47 2015	GX15	-89
