Date	Device	Signal
Wed Jul  1 11:41:22 2015	S5610	-66
Wed Jul  1 11:41:22 2015	GX15	-66
Wed Jul  1 11:41:22 2015	Nokia108	-66
Wed Jul  1 11:41:32 2015	Feild?s MacBook Pro	-61
Wed Jul  1 11:41:32 2015	GX15	-62
Wed Jul  1 11:41:32 2015	S5610	-63
Wed Jul  1 11:41:32 2015	Nokia108	-63
Wed Jul  1 11:41:43 2015	S5610	-67
Wed Jul  1 11:41:43 2015	Nokia108	-63
Wed Jul  1 11:41:43 2015	Feild?s MacBook Pro	-59
Wed Jul  1 11:41:53 2015	GX15	-63
Wed Jul  1 11:41:53 2015	Nokia108	-61
Wed Jul  1 11:41:53 2015	S5610	-67
Wed Jul  1 11:41:53 2015	SEC02GJ54SDV7M	-81
Wed Jul  1 11:41:53 2015	SEC02GJ54SDV7M	-80
Wed Jul  1 11:42:03 2015	Feild?s MacBook Pro	-71
Wed Jul  1 11:42:03 2015	GX15	-60
Wed Jul  1 11:42:03 2015	Nokia108	-63
Wed Jul  1 11:42:14 2015	S5610	-69
Wed Jul  1 11:42:14 2015	GX15	-55
Wed Jul  1 11:42:14 2015	Nokia108	-62
Wed Jul  1 11:42:24 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:42:24 2015	S5610	-74
Wed Jul  1 11:42:24 2015	Nokia108	-58
Wed Jul  1 11:42:25 2015	GX15	-55
Wed Jul  1 11:42:25 2015	Nokia108	-59
Wed Jul  1 11:42:35 2015	GX15	-58
Wed Jul  1 11:42:35 2015	S5610	-71
Wed Jul  1 11:42:35 2015	S5610	-66
Wed Jul  1 11:42:35 2015	Feild?s MacBook Pro	-65
Wed Jul  1 11:42:45 2015	Nokia108	-61
Wed Jul  1 11:42:45 2015	GX15	-60
Wed Jul  1 11:42:45 2015	Feild?s MacBook Pro	-71
Wed Jul  1 11:42:45 2015	S5610	-67
Wed Jul  1 11:42:45 2015	S5610	-73
Wed Jul  1 11:42:56 2015	Nokia108	-61
Wed Jul  1 11:42:56 2015	Feild?s MacBook Pro	-78
Wed Jul  1 11:42:56 2015	GX15	-61
Wed Jul  1 11:43:06 2015	GX15	-63
Wed Jul  1 11:43:06 2015	S5610	-71
Wed Jul  1 11:43:06 2015	Nokia108	-60
Wed Jul  1 11:43:06 2015	Feild?s MacBook Pro	-60
Wed Jul  1 11:43:06 2015	Feild?s MacBook Pro	-70
Wed Jul  1 11:43:17 2015	Nokia108	-58
Wed Jul  1 11:43:17 2015	Feild?s MacBook Pro	-71
Wed Jul  1 11:43:27 2015	S5610	-59
Wed Jul  1 11:43:27 2015	GX15	-58
Wed Jul  1 11:43:38 2015	GX15	-54
Wed Jul  1 11:43:38 2015	S5610	-56
Wed Jul  1 11:43:38 2015	S5610	-58
Wed Jul  1 11:43:38 2015	Nokia108	-60
Wed Jul  1 11:43:38 2015	edc	-76
Wed Jul  1 11:43:48 2015	Nokia108	-60
Wed Jul  1 11:43:48 2015	S5610	-56
Wed Jul  1 11:43:48 2015	GX15	-59
Wed Jul  1 11:43:48 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:43:59 2015	Nokia108	-60
Wed Jul  1 11:43:59 2015	S5610	-63
Wed Jul  1 11:43:59 2015	Feild?s MacBook Pro	-67
Wed Jul  1 11:43:59 2015	Feild?s MacBook Pro	-62
Wed Jul  1 11:44:09 2015	GX15	-56
Wed Jul  1 11:44:09 2015	Feild?s MacBook Pro	-71
Wed Jul  1 11:44:09 2015	SEC02GJ54SDV7M	-79
Wed Jul  1 11:44:09 2015	Manu ka Mac	-78
Wed Jul  1 11:44:20 2015	Feild?s MacBook Pro	-77
Wed Jul  1 11:44:20 2015	GX15	-60
Wed Jul  1 11:44:20 2015	edc	-73
Wed Jul  1 11:44:20 2015	Nokia108	-62
Wed Jul  1 11:44:30 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:44:30 2015	Nokia108	-63
Wed Jul  1 11:44:41 2015	S5610	-59
Wed Jul  1 11:44:41 2015	GX15	-56
Wed Jul  1 11:44:51 2015	GX15	-54
Wed Jul  1 11:44:51 2015	Nokia108	-67
Wed Jul  1 11:44:51 2015	Feild?s MacBook Pro	-71
Wed Jul  1 11:45:02 2015	Nokia108	-60
Wed Jul  1 11:45:02 2015	GX15	-52
Wed Jul  1 11:45:02 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:45:02 2015	Feild?s MacBook Pro	-77
Wed Jul  1 11:45:12 2015	S5610	-59
Wed Jul  1 11:45:12 2015	GX15	-58
Wed Jul  1 11:45:12 2015	Feild?s MacBook Pro	-69
Wed Jul  1 11:45:23 2015	Feild?s MacBook Pro	-61
Wed Jul  1 11:45:23 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:45:23 2015	S5610	-62
Wed Jul  1 11:45:23 2015	GX15	-56
Wed Jul  1 11:45:23 2015	Nokia108	-63
Wed Jul  1 11:45:33 2015	GX15	-52
Wed Jul  1 11:45:33 2015	S5610	-59
Wed Jul  1 11:45:33 2015	S5610	-64
Wed Jul  1 11:45:33 2015	Nokia108	-61
Wed Jul  1 11:45:44 2015	Nokia108	-73
Wed Jul  1 11:45:44 2015	GX15	-56
Wed Jul  1 11:45:44 2015	S5610	-57
Wed Jul  1 11:45:54 2015	GX15	-59
Wed Jul  1 11:45:54 2015	S5610	-55
Wed Jul  1 11:45:54 2015	Nokia108	-62
Wed Jul  1 11:46:05 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:46:05 2015	Nokia108	-70
Wed Jul  1 11:46:05 2015	S5610	-56
Wed Jul  1 11:46:15 2015	Nokia108	-69
Wed Jul  1 11:46:15 2015	Feild?s MacBook Pro	-76
Wed Jul  1 11:46:26 2015	GX15	-63
Wed Jul  1 11:46:26 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:46:26 2015	Nokia108	-67
Wed Jul  1 11:46:36 2015	Nexus 4	-77
Wed Jul  1 11:46:36 2015	GX15	-61
Wed Jul  1 11:46:36 2015	S5610	-62
Wed Jul  1 11:46:36 2015	Nokia108	-64
Wed Jul  1 11:46:36 2015	Feild?s MacBook Pro	-73
Wed Jul  1 11:46:47 2015	GX15	-59
Wed Jul  1 11:46:47 2015	S5610	-71
Wed Jul  1 11:46:47 2015	S5610	-61
Wed Jul  1 11:46:47 2015	Feild?s MacBook Pro	-76
Wed Jul  1 11:46:47 2015	SEC02GJ54SDV7M	-80
Wed Jul  1 11:46:47 2015	Nokia108	-70
Wed Jul  1 11:46:57 2015	Feild?s MacBook Pro	-67
Wed Jul  1 11:46:57 2015	SEC02GJ54SDV7M	-84
Wed Jul  1 11:46:57 2015	GX15	-57
Wed Jul  1 11:46:57 2015	Nokia108	-73
Wed Jul  1 11:47:08 2015	S5610	-63
Wed Jul  1 11:47:08 2015	Feild?s MacBook Pro	-57
Wed Jul  1 11:47:08 2015	GX15	-64
Wed Jul  1 11:47:18 2015	SEC02GJ54SDV7M	-82
Wed Jul  1 11:47:18 2015	S5610	-65
Wed Jul  1 11:47:18 2015	Nokia108	-71
Wed Jul  1 11:47:18 2015	edc	-79
Wed Jul  1 11:47:29 2015	S5610	-57
Wed Jul  1 11:47:29 2015	Nokia108	-74
Wed Jul  1 11:47:29 2015	Feild?s MacBook Pro	-58
Wed Jul  1 11:47:39 2015	Nokia108	-67
Wed Jul  1 11:47:39 2015	S5610	-70
Wed Jul  1 11:47:39 2015	GX15	-66
Wed Jul  1 11:47:39 2015	SEC02GJ54SDV7M	-79
Wed Jul  1 11:47:39 2015	Feild?s MacBook Pro	-58
Wed Jul  1 11:47:50 2015	GX15	-66
Wed Jul  1 11:47:50 2015	Nokia108	-76
Wed Jul  1 11:48:00 2015	Nokia108	-76
Wed Jul  1 11:48:00 2015	GX15	-62
Wed Jul  1 11:48:00 2015	S5610	-70
Wed Jul  1 11:48:11 2015	GX15	-60
Wed Jul  1 11:48:11 2015	Feild?s MacBook Pro	-58
Wed Jul  1 11:48:11 2015	S5610	-65
Wed Jul  1 11:48:11 2015	Nokia108	-68
Wed Jul  1 11:48:21 2015	S5610	-61
Wed Jul  1 11:48:21 2015	GX15	-54
Wed Jul  1 11:48:21 2015	Nokia108	-61
Wed Jul  1 11:48:32 2015	edc	-78
Wed Jul  1 11:48:32 2015	S5610	-57
Wed Jul  1 11:48:32 2015	SEC02GJ54SDV7M	-80
Wed Jul  1 11:48:32 2015	Nokia108	-62
Wed Jul  1 11:48:32 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:48:42 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:48:42 2015	GX15	-63
Wed Jul  1 11:48:42 2015	Nokia108	-62
Wed Jul  1 11:48:42 2015	edc	-79
Wed Jul  1 11:48:52 2015	Nokia108	-71
Wed Jul  1 11:48:52 2015	Feild?s MacBook Pro	-63
Wed Jul  1 11:48:52 2015	S5610	-78
Wed Jul  1 11:49:03 2015	Nokia108	-62
Wed Jul  1 11:49:03 2015	Nokia108	-72
Wed Jul  1 11:49:03 2015	GX15	-71
Wed Jul  1 11:49:03 2015	S5610	-62
Wed Jul  1 11:49:03 2015	edc	-75
Wed Jul  1 11:49:13 2015	Nokia108	-63
Wed Jul  1 11:49:13 2015	S5610	-59
Wed Jul  1 11:49:13 2015	Feild?s MacBook Pro	-68
Wed Jul  1 11:49:13 2015	GX15	-58
Wed Jul  1 11:49:24 2015	Nokia108	-67
Wed Jul  1 11:49:24 2015	S5610	-57
Wed Jul  1 11:49:24 2015	Feild?s MacBook Pro	-64
Wed Jul  1 11:49:24 2015	edc	-76
Wed Jul  1 11:49:24 2015	edc	-77
Wed Jul  1 11:49:34 2015	Feild?s MacBook Pro	-61
Wed Jul  1 11:49:34 2015	GX15	-64
Wed Jul  1 11:49:34 2015	S5610	-60
Wed Jul  1 11:49:35 2015	Nokia108	-70
Wed Jul  1 11:49:45 2015	S5610	-55
Wed Jul  1 11:49:45 2015	GX15	-63
Wed Jul  1 11:49:45 2015	edc	-78
Wed Jul  1 11:49:55 2015	S5610	-55
Wed Jul  1 11:49:55 2015	Martina?s MacBook Pro	-80
Wed Jul  1 11:49:55 2015	GX15	-58
Wed Jul  1 11:50:06 2015	Nokia108	-64
Wed Jul  1 11:50:06 2015	GX15	-70
Wed Jul  1 11:50:06 2015	S5610	-60
Wed Jul  1 11:50:16 2015	S5610	-58
Wed Jul  1 11:50:16 2015	Nokia108	-67
Wed Jul  1 11:50:16 2015	edc	-78
Wed Jul  1 11:50:27 2015	GX15	-58
Wed Jul  1 11:50:27 2015	S5610	-56
Wed Jul  1 11:50:27 2015	S5610	-58
Wed Jul  1 11:50:37 2015	S5610	-59
Wed Jul  1 11:50:48 2015	Nokia108	-63
Wed Jul  1 11:50:48 2015	GX15	-55
Wed Jul  1 11:50:48 2015	S5610	-61
Wed Jul  1 11:50:58 2015	edc	-80
Wed Jul  1 11:50:58 2015	S5610	-65
Wed Jul  1 11:50:58 2015	GX15	-56
Wed Jul  1 11:51:09 2015	GX15	-64
Wed Jul  1 11:51:09 2015	Nokia108	-57
Wed Jul  1 11:51:09 2015	S5610	-60
Wed Jul  1 11:51:19 2015	Nokia108	-54
Wed Jul  1 11:51:19 2015	S5610	-61
Wed Jul  1 11:51:30 2015	S5610	-64
Wed Jul  1 11:51:30 2015	GX15	-56
Wed Jul  1 11:51:40 2015	GX15	-65
Wed Jul  1 11:51:40 2015	Nokia108	-63
Wed Jul  1 11:51:51 2015	GX15	-59
Wed Jul  1 11:51:51 2015	edc	-77
Wed Jul  1 11:51:51 2015	Nokia108	-63
Wed Jul  1 11:52:01 2015	S5610	-60
Wed Jul  1 11:52:01 2015	GX15	-56
Wed Jul  1 11:52:01 2015	Nokia108	-59
Wed Jul  1 11:52:12 2015	GX15	-64
